epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,42.3987,1.12011,1.00613,1.06873,0.34998,0.37286,0.28558,0.16772,1.46853,1.93426,1.3563,0.00113898,0.00113898,0.00113898
43,43.3417,1.12117,1.00311,1.06669,0.43065,0.33902,0.30211,0.17649,1.47723,1.92333,1.36271,0.00113191,0.00113191,0.00113191
44,44.3315,1.06483,0.94583,1.03303,0.43448,0.39272,0.32923,0.19556,1.47784,1.9358,1.33374,0.00112484,0.00112484,0.00112484
45,45.2911,1.07764,1.0065,1.0695,0.42204,0.37039,0.31513,0.17952,1.48926,2.02643,1.33014,0.00111776,0.00111776,0.00111776
46,46.2748,1.07976,1.05138,1.08557,0.38216,0.39817,0.30878,0.179,1.46689,1.90984,1.29957,0.00111069,0.00111069,0.00111069
47,47.366,1.07787,0.98239,1.0491,0.39408,0.41985,0.31921,0.18031,1.52042,1.73106,1.31472,0.00110362,0.00110362,0.00110362
48,48.3485,1.09125,0.97504,1.05167,0.42948,0.34575,0.31032,0.18261,1.56963,1.71734,1.33548,0.00109654,0.00109654,0.00109654
49,49.3213,1.09974,0.95201,1.05267,0.40987,0.33676,0.2885,0.1726,1.53691,1.8483,1.34455,0.00108947,0.00108947,0.00108947
50,50.3286,1.08326,0.95207,1.04538,0.24383,0.46693,0.27858,0.16833,1.52454,1.96832,1.3479,0.0010824,0.0010824,0.0010824
51,51.2912,1.06528,0.95379,1.05417,0.26958,0.44239,0.28312,0.16529,1.53915,1.88084,1.32521,0.00107532,0.00107532,0.00107532
52,52.3479,1.04452,0.90653,1.02705,0.37585,0.42486,0.32049,0.18676,1.4831,1.69551,1.2994,0.00106825,0.00106825,0.00106825
53,53.3339,1.02903,0.93129,1.04323,0.40287,0.41703,0.3393,0.19074,1.49647,1.63808,1.30672,0.00106118,0.00106118,0.00106118
54,54.3104,1.04883,0.91197,1.03949,0.38671,0.41862,0.31623,0.17553,1.57047,1.69776,1.34358,0.0010541,0.0010541,0.0010541
55,55.2963,1.06847,0.92674,1.03699,0.40052,0.36594,0.31119,0.16816,1.54529,1.70335,1.32824,0.00104703,0.00104703,0.00104703
56,56.485,1.00821,0.87277,1.01098,0.39066,0.43326,0.35686,0.19429,1.4814,1.65545,1.29121,0.00103995,0.00103995,0.00103995
