epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
181,179.036,0.74115,0.55311,0.90872,0.46143,0.43058,0.37864,0.24318,1.37664,1.56768,1.25983,0.000155761,0.000155761,0.000155761
182,180.021,0.74052,0.5604,0.91713,0.52648,0.39437,0.37492,0.24333,1.36652,1.58881,1.25597,0.000148687,0.000148687,0.000148687
183,181.005,0.73302,0.56435,0.91298,0.5433,0.38959,0.38005,0.24358,1.36856,1.5959,1.26102,0.000141614,0.000141614,0.000141614
184,182.014,0.71139,0.53198,0.89958,0.46674,0.42468,0.37118,0.23953,1.38404,1.62044,1.28001,0.00013454,0.00013454,0.00013454
185,183.003,0.73791,0.56754,0.91173,0.44782,0.41958,0.368,0.23812,1.38488,1.62647,1.27898,0.000127467,0.000127467,0.000127467
186,183.98,0.71324,0.53461,0.90444,0.53636,0.38053,0.37573,0.24191,1.37471,1.61088,1.28565,0.000120393,0.000120393,0.000120393
187,184.945,0.71834,0.55064,0.90938,0.55287,0.38052,0.37755,0.24383,1.37853,1.61633,1.288,0.00011332,0.00011332,0.00011332
188,186.002,0.72161,0.54618,0.90298,0.48552,0.41311,0.38267,0.24675,1.37305,1.62678,1.29928,0.000106246,0.000106246,0.000106246
189,186.992,0.74767,0.55343,0.91153,0.48164,0.418,0.38015,0.2456,1.37692,1.63605,1.30181,9.91726e-05,9.91726e-05,9.91726e-05
190,187.961,0.68657,0.51942,0.88532,0.4749,0.42735,0.38199,0.2435,1.35383,1.63015,1.27833,9.20991e-05,9.20991e-05,9.20991e-05
191,203.194,0.73074,0.63684,0.91149,0.47208,0.41682,0.37311,0.24312,1.35664,1.62664,1.27726,8.50255e-05,8.50255e-05,8.50255e-05
192,204.092,0.72369,0.60586,0.9169,0.53675,0.39248,0.37108,0.23961,1.3581,1.64988,1.27605,7.7952e-05,7.7952e-05,7.7952e-05
193,205.001,0.71804,0.58533,0.90349,0.51506,0.3943,0.36745,0.23565,1.35234,1.67891,1.27005,7.08784e-05,7.08784e-05,7.08784e-05
194,205.9,0.70228,0.5516,0.90864,0.53326,0.38314,0.36978,0.23753,1.35896,1.71929,1.27858,6.38049e-05,6.38049e-05,6.38049e-05
195,206.787,0.69644,0.53769,0.89287,0.50811,0.3927,0.37086,0.2352,1.3598,1.73141,1.28647,5.67313e-05,5.67313e-05,5.67313e-05
196,207.778,0.71237,0.55245,0.91077,0.51111,0.38685,0.37281,0.23266,1.37343,1.72518,1.30632,4.96578e-05,4.96578e-05,4.96578e-05
197,208.704,0.68137,0.53298,0.89267,0.50767,0.3878,0.37085,0.23212,1.37839,1.72014,1.31285,4.25842e-05,4.25842e-05,4.25842e-05
198,209.619,0.6895,0.53607,0.89467,0.50039,0.39358,0.36704,0.23001,1.37886,1.6818,1.31869,3.55107e-05,3.55107e-05,3.55107e-05
199,210.494,0.66792,0.51686,0.89628,0.49779,0.40172,0.36835,0.23034,1.38152,1.66845,1.32023,2.84371e-05,2.84371e-05,2.84371e-05
200,211.404,0.67909,0.52943,0.88015,0.48563,0.40002,0.36935,0.23301,1.38169,1.64066,1.32495,2.13636e-05,2.13636e-05,2.13636e-05
